name,longitude,latitude,Status Area,Fund Provider,Type of Financing,Intermediaries [Roles],Beneficiaries,Focussed Area,Duration,Commodity [solution-oriented],Ecosystem Services,More Info,Classification_Rationale,Macro_Financing_Type,Macro_Classification_Reason
Alaungdaw Kathapa National Park,94.43717546,22.41961879,National Park;  ASEAN Heritage Park,"Federal Ministry for Economic Cooperation and Development (BMZ) via KfW & ASEAN Centre for Biodiversity (ACB) Small Grants Programme; EUR 274,998 total: CMP (EUR 100K), SMART law enforcement (EUR 150K) & conservation awareness (EUR 25K)",Bilateral Grant,NWCD-MONREC (main implementing agency); WCS (ground-level implementation); Alaungdaw Kathapa NP Management (on-site oversight),"65 communities & 10,826 households (targeted townships); park staff & rangers (training & equipment); 7 community guardians integrated into patrols; ~1M pilgrims via religious zone outreach; endangered banteng, tiger & native teak forests","140,280 hectares located in the Mingin and Kani townships of the Sagaing Region, Myanmar.",2015- 2019,Co-management framework with local communities; Protected Area Management Committees & Support Unit across 3 townships; SMART patrol system (36 review meetings); 300 fuel-efficient stoves distributed; school/village awareness campaigns & perception surveys,"Critical refuge for endangered banteng & tiger, old-growth teak forest preservation (supporting); landscape provisions for 65 forest-dependent communities, sacred pilgrimage site & education center (provisioning & cultural)",https://www.aseanbiodiversity.org/wp-content/uploads/2024/10/Alaungdaw_FINAL_02-E-COPY-WITH-LINKS.pdf,"Funded by a single country's government development agency (e.g., USAID, GIZ, BMUB).",Public / Institutional Funding,Funds originate primarily from sovereign governments or intergovernmental organizations.
Alaungdaw Kathapa National Park,94.43717546,22.41961879,National Park;  ASEAN Heritage Park,"Critical Ecosystem Partnership Fund (CEPF); USD 82,207",Multilateral Grant,"Myanmar Environment Institute (primary grantee — community expansion & Community Conservation Concession Agreement (CCCA) manual drafting); Global Environmental Institute (CCCA expertise); Community Development Action, Ecosystem Conservation and Community Development Initiative & Myanmar Forest Association (curriculum execution & policy recommendations); Forest Department & NP staff (threat identification, training & policy workshops)","5 village communities (~4,000 people: Yay Yin, Aung Thabyay, Yay Phyu & others) — conservation awareness, technical training & agricultural/livestock loans",900 hectares of community conservation area established within the potential buffer zone of the Alaungdaw Kathapa National Park,2018 – 2019,Pig rearing & beans/pulses loans with technical training; boosted agricultural & apicultural yields to reduce resource dependence,"Illegal logging, poaching & hunting reduction for habitat restoration (regulating); SMART patrolling & community-led wildlife monitoring (supporting)",https://www.cepf.net/grants/grantee-projects/ecological-conservation-and-community-development-around-alaungdaw-kathapha,"Funded by international organizations composed of multiple member countries (e.g., GEF, UNDP).",Public / Institutional Funding,Funds originate primarily from sovereign governments or intergovernmental organizations.
Chatthin Wildlife Sanctuary,95.54616699,23.57296986,Wildlife Sanctuary,"Norwegian Environment Agency (NEA) — joint program budget of USD 3,043,612 (implemented across multiple sites, not site-specific)",Bilateral Grant,NWCD/FD (national implementing partners); Norwegian Environment Agency (international cooperating partner); Friends of Wildlife (site Management Plan drafting),"Sanctuary staff, local communities & endangered Eld's deer (thamin) population","Sagaing Region (Kanbalu and Kyunhla townships), spanning approximately 64,264 acres",2015- 2019,"Participatory management plan & threat analysis; socio-economic study on resource exploitation impacts on thamin conservation; 107,200 bilingual (Myanmar/English) educational pamphlets distributed","Indaing forest & golden deer habitat conservation (supporting); Thapanseik Dam watershed protection for electricity & irrigation (regulating); controlled NTFP/medicinal plant extraction & ecotourism — Sammyung, Takondaing & Kinsan forest camps, mini-museum (provisioning & cultural)",https://myanmarwaterportal.com/storage/2019/11/4a.nea-phase-i-kns-copy-2.pdf,"Funded by a single country's government development agency (e.g., USAID, GIZ, BMUB).",Public / Institutional Funding,Funds originate primarily from sovereign governments or intergovernmental organizations.
Chatthin Wildlife Sanctuary,95.546167,23.57297,Wildlife Sanctuary,"Critical Ecosystem Partnership Fund (CEPF) - Grant Amount: $240,000.00",Philanthropic / NGO Grant,"WCS (remote technical/husbandry advisory, joint reporting); MBF (field implementation, HQ updates, joint reporting); TSA (field command, managerial oversight, husbandry technical input, joint reporting); WeCan (on-ground integration, financial reporting, permitting, government liaison, trade monitoring, monastery outreach); Forest Department (reintroduction permitting).","~110 people benefited (CCVs, TSA staff, laborers, fishermen, vegetable growers); target 150 people/22 communities. 86 CCVs trained (76M/10F); 6 Turtle Champions; WeCan employs 10 staff. Burmese Star Tortoise: target 7,000 free-ranging (~5,000 achieved, 1,000+ reintroduced at Minzontaung, 2,700 released at Shwe Settaw, 1,000 head-started, ~3,000 hatchlings). Burmese Roofed Turtle: target 2,000 adults (100 released, 200+/yr hatchlings at Mandalay Zoo, 30-40/yr at Yangon Zoo/Lawkanandar). Plus assurance colonies of 5 other turtle/tortoise species.","Central Myanmar and along the upper Chindwin River, Sagaing Region. Includes two 1-hectare temporary acclimation pens within Shwe Settaw Wildlife Sanctuary.",2022-2024,Captive-breeding & assurance colonies; head-starting and reintroduction of tortoises/turtles; egg translocation; floating acclimation pens for river conditioning; radio/sonic telemetry monitoring; Turtle Champions and CCV patrol/nest-monitoring teams; outreach and education; contracted local vegetable growers and fishermen for feed supply; nesting-site protection.,,https://www.cepf.net/grants/grantee-projects/back-brink-recovering-two-critically-endangered-turtles-myanmar;https://www.cepf.net/resources/final-project-report/final-project-report-111860;  https://www.cepf.net/resources/final-project-report/final-project-report-111860,"Financed by non-governmental organizations, philanthropic foundations, or charities (identified via fund description).",Private / Philanthropic Funding,"Funds originate from non-governmental organizations, private foundations, or corporate entities."
Chatthin Wildlife Sanctuary,95.546167,23.57297,Wildlife Sanctuary,"Critical Ecosystem Partnership Fund (CEPF): US$19,993; Conservation Force, USA: US$49,990 (used as project co-financing)",Blended Finance / Co-Financing,"FOW (implementer); 2 local CSOs/village councils in Singaung and Satthachaung (meetings, awareness, planting, logistics); 2 Village Conservation and Development Committees (community leadership – meetings, training, patrols, CF establishment, stove distribution); CWS field staff (engagement, training, CF, education, patrol, enforcement); Kawlin Township Forest Department (CF training/establishment support); Sagaing Regional Parliament/Government (governance, policy, enforcement support); Dr. William McShea (Smithsonian) and two Thai deer specialists (monitoring/data-management training).","2 target villages (Singaung, Satthachaung), 271 households; 41 formally trained (34M/7F); 12 CWS field staff; 3 village patrol-team members; two training sessions (41 and 35 attendees); 1 forester trained in data management; two CF trainings (20 and 39 participants); 2 schools; 106 attendees at Deer Conservation/CWS Management workshop; ~1,380 residents across both villages; Eld's deer (endemic, globally threatened flagship species) protected.","12,125 hectares (121.2 km2); Chatthin Wildlife Sanctuary, Kawlin Township, Sagaing Region",2014-2016,Village Conservation and Development Committees; Community Forests; fuel-efficient stoves; block/line-transect and distance-sampling monitoring; core-zone patrolling and law enforcement; boundary pillars and signage; nature clubs; multistakeholder consultation workshops.,"Supporting: Eld's deer population conservation, dry dipterocarp forest management, soil and bio-fertilizer management. Provisioning: Community Forests for sustainable forestry and reduced sanctuary-resource dependency, reduced fuelwood consumption. Cultural: environmental education, awareness events, school/village lectures, nature clubs, capacity-building.",https://www.cepf.net/grants/grantee-projects/promoting-conservation-elds-deer-chatthin-wildlife-sanctuary-through-core;https://www.cepf.net/resources/final-project-report/final-project-report-533;  https://www.cepf.net/resources/final-project-report/final-project-report-533,"Combines multiple sources of funding, such as international grants, local government allocations, or private investments.",Blended / Collaborative Financing,"Combines capital from multiple sectors (public, private, NGO) or uses market-based collaborative mechanisms."
Gulf of Mottama,96.86984748,17.06516262,Wetland of International Importance (Ramsar Site),"Critical Ecosystem Partnership Fund (CEPF): $17,985; Darwin Initiative (through RSPB): $19,071",Blended Finance / Co-Financing,"BANCA (implementer – LCG establishment/training, education campaigns, field-guide publishing); RSPB (funding, technical support, Ramsar initiation); BirdLife International (guidance, progress reporting); Spoon-billed Sandpiper Task Force (progress-report recipient); IUCN (Ramsar-site process); Thai Wetlands Foundation (photo contribution); Swiss government (IUCN project funder).","4 Local Conservation Groups; 8 LCG members trained in shorebird monitoring; 50 campaign participants in Koetaesu; 50–80 people per village across 7 villages (Koetaesu, Kyarsi Aung, Kyandine Aung, Khintan, Kyeikkathar, Kyunthayar, Kauhtin) reached by awareness talks; ex-hunters supported through livelihood activities; 5 universities plus MoECAF and NGOs received 250 field-guide copies; Spoon-billed Sandpiper (EN), Spotted Greenshank (EN) and Great Knot (VU) targeted.","15,917 hectares in the Gulf of Mottama, Kyaik Hto, Mon State, Myanmar (specific villages include Koe De Su/Koetaesu, Ahlat, Kyarsi Aung, Kyandine Aung, Khintan, Kyeikkathar, Kyunthayar, and Kauhtin)",2014-2015,"Shorebird monitoring training; establishment of Local Conservation Groups; community participatory approach; livelihood support for ex-hunters; public education campaigns and awareness talks; field equipment (binoculars, spotting scopes); field guide 'Water Birds in the Gulf of Mottama'; educational materials (posters, banners, leaflets, t-shirts); petition for Ramsar-site designation.","Cultural: development of eco-tourism, enabling LCG members to guide birdwatchers and generate local revenue, and building community pride and interest in shorebird protection.",https://www.cepf.net/grants/grantee-projects/training-monitoring-spoonbill-sandpiper-gulf-mottama;https://www.cepf.net/resources/final-project-report/final-project-report-534;  https://www.cepf.net/resources/final-project-report/final-project-report-534,"Combines multiple sources of funding, such as international grants, local government allocations, or private investments.",Blended / Collaborative Financing,"Combines capital from multiple sectors (public, private, NGO) or uses market-based collaborative mechanisms."
Hponkanrazi Wildlife Sanctuary,97.26730515,27.63573108,Wildlife Sanctuary,"GEF & state co-financing; core funds + USD 41,000/yr government RNH plan allocation",Blended Finance / Co-Financing,WCS & FD (Biological surveys); Putao GAD (Administrative chair),17 inside/border villages (Rawang minority); Rawang Literature and Culture Association,"381,200 ha (Kachin State)",2015 – 2020,"Sustainable regulation for high-value NTFPs (medicinal plants, traded fungi)","Far-Eastern Himalayan alpine/sub-tropical forest protection (supporting), broadleaved forest carbon sequestration (regulating)",https://erc.undp.org/evaluation/documents/download/16911,"Combines multiple sources of funding, such as international grants, local government allocations, or private investments.",Blended / Collaborative Financing,"Combines capital from multiple sectors (public, private, NGO) or uses market-based collaborative mechanisms."
Hponkanrazi Wildlife Sanctuary,97.26730515,27.63573108,Wildlife Sanctuary,GEF (incl. office infrastructure funding),Multilateral Grant,NWCD/FD (Park warden operations); WCS (PLUP technical training),10 base villages (Rawang & Lisu peoples),"270,400 ha (Kachin State)",2015 – 2020,Ecotourism planning; traditional land tenure documentation via community zoning,"Pristine habitat corridor protection (supporting), river headwater stabilization & safeguarding against agricultural clearing (regulating)",https://erc.undp.org/evaluation/documents/download/16911,"Funded by international organizations composed of multiple member countries (e.g., GEF, UNDP).",Public / Institutional Funding,Funds originate primarily from sovereign governments or intergovernmental organizations.
Hponkanrazi Wildlife Sanctuary,97.267305,27.635731,Wetland of International Importance (Ramsar Site); Wildlife Sanctuary; ASEAN Heritage Park,"Critical Ecosystem Partnership Fund (CEPF): Grant Amount 149973.00; Helmsley Charitable Trust: $50,000 (Upper Ayeyarwady Basin); GEF-Satoyama: $40,000 (Upper Ayeyarwady Basin); ACB-GIZ: $25,000 (Indawgyi)",Blended Finance / Co-Financing,"FFI (lead implementer – fish surveys, community meetings, FCZ establishment, patrol/grant support); FoW (consultations, FCZ mapping/demarcation, awareness talks, landing surveys); NCSDAK (fish surveys); FISHBIO (led FCZ consultations, capacity building/training); FD/NWCD (authority, permitting, enforcement); DoF (FCZ notification/permits, amended State Freshwater Fisheries law for community roles).","Rawan and Lisu ethnic communities across 9 villages (Wasar Dam, Saw Law Di, Nam Ru, Awat Dam, Lone Na Dam, Wan Lai Dam, Khar Lan, Zi Yar Dam) plus wider Indawgyi community, Moe Nhyin District; 514 formally trained (356M/158F); 10 project/government/university/NGO staff trained in fish-survey and identification techniques; 95 fish species recorded in Indawgyi WS and 46 in Putao District/Mon Lan tributary, including threatened and endemic species (Microphis dunckeri, Schistura spp., Notopterus notopterus, Sperata acicularis, Wallago attu, Tor sp., Neolissochilus sp., Oreinus sp., Malihkaia spp.).","Located in Myanmar's Upper Ayeyarwady Basin within Kachin State, this footprint spans the Indawgyi and Hponganrazi Wildlife Sanctuaries across the Moe Nhyin and Putao districts. Key sites include the 336.29-hectare Indawgyi Grassland and Wetland, 301.20 hectares within Hponganrazi, and a network of local Fish Conservation Zones ranging from 2.8 to 14.1 hectares. These core sites are complemented by additional protected habitats across various dams and waterways, most notably the 104.4-hectare Saw Law Di and Nam Ru area and the 70.2-hectare Wan Lai Dam.",2014-2017,Fish Conservation Zones and Locally Managed Freshwater Areas; community fly-fishing ecotourism; KBA gap analysis; livelihood micro-grants; reviewed Fishing Restriction Zones; participatory patrolling and enforcement; amended State Freshwater Fisheries law.,"Provisioning: sustained fisheries, food security via spillover from FCZs, alternative livelihoods. Supporting: protected endemic fish populations and spawning/nursery habitats, water-quality maintenance, freshwater biodiversity. Cultural: fly-fishing ecotourism, indigenous knowledge integration.",https://www.cepf.net/grants/grantee-projects/gap-analysis-conservation-freshwater-biodiversity-upper-ayeyarwady-basin;https://www.cepf.net/resources/final-project-report/final-project-report-2312;  https://www.cepf.net/resources/final-project-report/final-project-report-2312,"Combines multiple sources of funding, such as international grants, local government allocations, or private investments.",Blended / Collaborative Financing,"Combines capital from multiple sectors (public, private, NGO) or uses market-based collaborative mechanisms."
Htamanthi Wildlife Sanctuary,95.58247244,25.43467075,Wildlife Sanctuary; ASEAN Heritage Park,"GEF & UNDP (part of USD 26.09M total; USD 169,969/yr site plan)",Multilateral Grant,UNDP (Implementing Agency); WCS (Implementing Partner); NWCD/FD (Local law enforcement),"26 buffer villages (~3,400 households); 7 Shan CF groups; 19 rangers & 26 guards","215,100 ha (Sagaing Region)",2015 – 2020,30-year certified Community Forestry (CF) timber/fuelwood; sustainable agriculture models,"Large mammal habitat support — tigers doubled to 10, gibbons stabilized (supporting), Chindwin watershed maintenance (regulating)",https://erc.undp.org/evaluation/documents/download/16911,"Funded by international organizations composed of multiple member countries (e.g., GEF, UNDP).",Public / Institutional Funding,Funds originate primarily from sovereign governments or intergovernmental organizations.
